model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-7b-hf/,4,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-13b-hf,4,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-7b-hf,3,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-7b-hf,3,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-13b-hf,3,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-7b-hf,16,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-13b-hf,16,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-7b-hf,8,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/Llama-2-13b-hf,8,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/opt-13b,16,,,,,,
model,bit,piqa,arc_easy,arc_challenge,boolq,hellaswag,winogrande
/data/tzj/huggingface/opt-13b,8,,,,,,
